, where, what, value
93, GPU[1].SA[5].CU[2], simd_inst_count, 2812543.000000000000
94, GPU[1].SA[5].CU[2], simd_CPI, 3.563096813098
95, GPU[1].SA[5].CU[3], cu_inst_count, 3920000.000000000000
96, GPU[1].SA[5].CU[3], cu_CPI, 2.556470153061
97, GPU[1].SA[5].CU[3], simd_inst_count, 2817141.000000000000
98, GPU[1].SA[5].CU[3], simd_CPI, 3.557281300439
99, GPU[1].SA[6].CU[0], cu_inst_count, 3920000.000000000000
100, GPU[1].SA[6].CU[0], cu_CPI, 2.556470153061
101, GPU[1].SA[6].CU[0], simd_inst_count, 2813457.000000000000
102, GPU[1].SA[6].CU[0], simd_CPI, 3.561939279683
103, GPU[1].SA[6].CU[1], cu_inst_count, 3921568.000000000000
104, GPU[1].SA[6].CU[1], cu_CPI, 2.555447973872
105, GPU[1].SA[6].CU[1], simd_inst_count, 2814527.000000000000
106, GPU[1].SA[6].CU[1], simd_CPI, 3.560585135620
107, GPU[1].SA[6].CU[2], cu_inst_count, 3920000.000000000000
108, GPU[1].SA[6].CU[2], cu_CPI, 2.556470153061
109, GPU[1].SA[6].CU[2], simd_inst_count, 2814699.000000000000
110, GPU[1].SA[6].CU[2], simd_CPI, 3.560367556176
111, GPU[1].SA[6].CU[3], cu_inst_count, 3920000.000000000000
112, GPU[1].SA[6].CU[3], cu_CPI, 2.556470153061
113, GPU[1].SA[6].CU[3], simd_inst_count, 2814001.000000000000
114, GPU[1].SA[6].CU[3], simd_CPI, 3.561250688966
115, GPU[1].SA[7].CU[0], cu_inst_count, 3921568.000000000000
116, GPU[1].SA[7].CU[0], cu_CPI, 2.555447973872
117, GPU[1].SA[7].CU[0], simd_inst_count, 2814953.000000000000
118, GPU[1].SA[7].CU[0], simd_CPI, 3.560046295622
119, GPU[1].SA[7].CU[1], cu_inst_count, 3920000.000000000000
120, GPU[1].SA[7].CU[1], cu_CPI, 2.556470153061
121, GPU[1].SA[7].CU[1], simd_inst_count, 2813391.000000000000
122, GPU[1].SA[7].CU[1], simd_CPI, 3.562022840053
123, GPU[1].SA[7].CU[2], cu_inst_count, 3920000.000000000000
124, GPU[1].SA[7].CU[2], cu_CPI, 2.556470153061
125, GPU[1].SA[7].CU[2], simd_inst_count, 2814206.000000000000
126, GPU[1].SA[7].CU[2], simd_CPI, 3.560991270717
127, GPU[1].SA[7].CU[3], cu_inst_count, 3920000.000000000000
128, GPU[1].SA[7].CU[3], cu_CPI, 2.556470153061
129, GPU[1].SA[7].CU[3], simd_inst_count, 2813686.000000000000
130, GPU[1].SA[7].CU[3], simd_CPI, 3.561649380919
131, GPU[1].SA[8].CU[0], cu_inst_count, 3921568.000000000000
132, GPU[1].SA[8].CU[0], cu_CPI, 2.555447973872
133, GPU[1].SA[8].CU[0], simd_inst_count, 2813844.000000000000
134, GPU[1].SA[8].CU[0], simd_CPI, 3.561449390940
135, GPU[1].SA[8].CU[1], cu_inst_count, 3920000.000000000000
136, GPU[1].SA[8].CU[1], cu_CPI, 2.556470153061
137, GPU[1].SA[8].CU[1], simd_inst_count, 2813689.000000000000
138, GPU[1].SA[8].CU[1], simd_CPI, 3.561645583432
139, GPU[1].SA[8].CU[2], cu_inst_count, 3920000.000000000000
140, GPU[1].SA[8].CU[2], cu_CPI, 2.556470153061
141, GPU[1].SA[8].CU[2], simd_inst_count, 2815050.000000000000
142, GPU[1].SA[8].CU[2], simd_CPI, 3.559923624802
143, GPU[1].SA[8].CU[3], cu_inst_count, 3920000.000000000000
144, GPU[1].SA[8].CU[3], cu_CPI, 2.556470153061
145, GPU[1].SA[8].CU[3], simd_inst_count, 2815628.000000000000
146, GPU[1].SA[8].CU[3], simd_CPI, 3.559192833712
147, GPU[1].SA[9].CU[0], cu_inst_count, 3921568.000000000000
148, GPU[1].SA[9].CU[0], cu_CPI, 2.555447973872
149, GPU[1].SA[9].CU[0], simd_inst_count, 2818751.000000000000
150, GPU[1].SA[9].CU[0], simd_CPI, 3.555249470421
151, GPU[1].SA[9].CU[1], cu_inst_count, 3920000.000000000000
152, GPU[1].SA[9].CU[1], cu_CPI, 2.556470153061
153, GPU[1].SA[9].CU[1], simd_inst_count, 2815623.000000000000
154, GPU[1].SA[9].CU[1], simd_CPI, 3.559199154148
155, GPU[1].SA[9].CU[2], cu_inst_count, 3918432.000000000000
156, GPU[1].SA[9].CU[2], cu_CPI, 2.557493150321
157, GPU[1].SA[9].CU[2], simd_inst_count, 2814626.000000000000
158, GPU[1].SA[9].CU[2], simd_CPI, 3.560459897692
159, GPU[1].SA[9].CU[3], cu_inst_count, 3920000.000000000000
160, GPU[1].SA[9].CU[3], cu_CPI, 2.556470153061
161, GPU[1].SA[9].CU[3], simd_inst_count, 2811918.000000000000
162, GPU[1].SA[9].CU[3], simd_CPI, 3.563888776273
163, GPU[1].SA[10].CU[0], cu_inst_count, 3921568.000000000000
164, GPU[1].SA[10].CU[0], cu_CPI, 2.555447973872
165, GPU[1].SA[10].CU[0], simd_inst_count, 2813934.000000000000
166, GPU[1].SA[10].CU[0], simd_CPI, 3.561335482637
167, GPU[1].SA[10].CU[1], cu_inst_count, 3920000.000000000000
168, GPU[1].SA[10].CU[1], cu_CPI, 2.556470153061
169, GPU[1].SA[10].CU[1], simd_inst_count, 2814788.000000000000
170, GPU[1].SA[10].CU[1], simd_CPI, 3.560254981903
171, GPU[1].SA[10].CU[2], cu_inst_count, 3920000.000000000000
172, GPU[1].SA[10].CU[2], cu_CPI, 2.556470153061
173, GPU[1].SA[10].CU[2], simd_inst_count, 2814487.000000000000
174, GPU[1].SA[10].CU[2], simd_CPI, 3.560635739302
175, GPU[1].SA[10].CU[3], cu_inst_count, 3920000.000000000000
176, GPU[1].SA[10].CU[3], cu_CPI, 2.556470153061
177, GPU[1].SA[10].CU[3], simd_inst_count, 2814298.000000000000
178, GPU[1].SA[10].CU[3], simd_CPI, 3.560874861155
179, GPU[1].SA[11].CU[0], cu_inst_count, 3920000.000000000000
180, GPU[1].SA[11].CU[0], cu_CPI, 2.556470153061
181, GPU[1].SA[11].CU[0], simd_inst_count, 2814383.000000000000
182, GPU[1].SA[11].CU[0], simd_CPI, 3.560767315607
183, GPU[1].SA[11].CU[1], cu_inst_count, 3920000.000000000000
184, GPU[1].SA[11].CU[1], cu_CPI, 2.556470153061
185, GPU[1].SA[11].CU[1], simd_inst_count, 2812169.000000000000
186, GPU[1].SA[11].CU[1], simd_CPI, 3.563570681563
187, GPU[1].SA[11].CU[2], cu_inst_count, 3920000.000000000000
188, GPU[1].SA[11].CU[2], cu_CPI, 2.556470153061
189, GPU[1].SA[11].CU[2], simd_inst_count, 2813345.000000000000
190, GPU[1].SA[11].CU[2], simd_CPI, 3.562081081417
191, GPU[1].SA[11].CU[3], cu_inst_count, 3921568.000000000000
192, GPU[1].SA[11].CU[3], cu_CPI, 2.555447973872
193, GPU[1].SA[11].CU[3], simd_inst_count, 2817097.000000000000
194, GPU[1].SA[11].CU[3], simd_CPI, 3.557336861315
195, GPU[1].SA[12].CU[0], cu_inst_count, 3920000.000000000000
196, GPU[1].SA[12].CU[0], cu_CPI, 2.556470153061
197, GPU[1].SA[12].CU[0], simd_inst_count, 2816284.000000000000
198, GPU[1].SA[12].CU[0], simd_CPI, 3.558363787175
199, GPU[1].SA[12].CU[1], cu_inst_count, 3920000.000000000000
200, GPU[1].SA[12].CU[1], cu_CPI, 2.556470153061
201, GPU[1].SA[12].CU[1], simd_inst_count, 2812896.000000000000
202, GPU[1].SA[12].CU[1], simd_CPI, 3.562649667816
203, GPU[1].SA[12].CU[2], cu_inst_count, 3920000.000000000000
204, GPU[1].SA[12].CU[2], cu_CPI, 2.556470153061
205, GPU[1].SA[12].CU[2], simd_inst_count, 2814377.000000000000
206, GPU[1].SA[12].CU[2], simd_CPI, 3.560774906844
207, GPU[1].SA[12].CU[3], cu_inst_count, 3920000.000000000000
208, GPU[1].SA[12].CU[3], cu_CPI, 2.556470153061
209, GPU[1].SA[12].CU[3], simd_inst_count, 2814927.000000000000
210, GPU[1].SA[12].CU[3], simd_CPI, 3.560079177897
211, GPU[1].SA[13].CU[0], cu_inst_count, 3920000.000000000000
212, GPU[1].SA[13].CU[0], cu_CPI, 2.556470153061
213, GPU[1].SA[13].CU[0], simd_inst_count, 2814238.000000000000
214, GPU[1].SA[13].CU[0], simd_CPI, 3.560950779572
215, GPU[1].SA[13].CU[1], cu_inst_count, 3920000.000000000000
216, GPU[1].SA[13].CU[1], cu_CPI, 2.556470153061
217, GPU[1].SA[13].CU[1], simd_inst_count, 2816439.000000000000
218, GPU[1].SA[13].CU[1], simd_CPI, 3.558167956061
219, GPU[1].SA[13].CU[2], cu_inst_count, 3921568.000000000000
220, GPU[1].SA[13].CU[2], cu_CPI, 2.555447973872
221, GPU[1].SA[13].CU[2], simd_inst_count, 2814729.000000000000
222, GPU[1].SA[13].CU[2], simd_CPI, 3.560329608996
223, GPU[1].SA[13].CU[3], cu_inst_count, 3920000.000000000000
224, GPU[1].SA[13].CU[3], cu_CPI, 2.556470153061
225, GPU[1].SA[13].CU[3], simd_inst_count, 2813613.000000000000
226, GPU[1].SA[13].CU[3], simd_CPI, 3.561741788938
227, GPU[1].SA[14].CU[0], cu_inst_count, 3918824.000000000000
228, GPU[1].SA[14].CU[0], cu_CPI, 2.557237324259
229, GPU[1].SA[14].CU[0], simd_inst_count, 2814430.000000000000
