Unnamed: 0, where, what, value,ass2,ass8,ass16,ass4bank4,lat100,ln_sim_ass_2
0, Driver, kernel_time, 0.000007707000, 0.000007707000, 0.000007707000, 0.000007707000, 0.000007707000, 0.000008003000,0.010021744
1, Driver, total_time, 0.000011672000, 0.000011672000, 0.000011672000, 0.000011672000, 0.000011672000, 0.000011968000,0.016065427
2, GPU[1].CommandProcessor, kernel_time, 0.000007118000, 0.000007118000, 0.000007118000, 0.000007118000, 0.000007118000, 0.000007414000,0.010021155
3, GPU[1].SA[0].CU[0], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
4, GPU[1].SA[0].CU[0], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
5, GPU[1].SA[0].CU[0], simd_inst_count, 995.000000000000, 995.000000000000, 995.000000000000, 995.000000000000, 995.000000000000, 1001.000000000000,2814122.0
6, GPU[1].SA[0].CU[0], simd_CPI, 7.745728643216, 7.745728643216, 7.745728643216, 7.745728643216, 7.745728643216, 7.995004995005,3.561232952942
7, GPU[1].SA[0].CU[1], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
8, GPU[1].SA[0].CU[1], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
9, GPU[1].SA[0].CU[1], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815303.0
10, GPU[1].SA[0].CU[1], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559739040522
11, GPU[1].SA[0].CU[2], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
12, GPU[1].SA[0].CU[2], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
13, GPU[1].SA[0].CU[2], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815880.0
14, GPU[1].SA[0].CU[2], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559009616887
15, GPU[1].SA[0].CU[3], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
16, GPU[1].SA[0].CU[3], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
17, GPU[1].SA[0].CU[3], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2817474.0
18, GPU[1].SA[0].CU[3], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.556996089405
19, GPU[1].SA[1].CU[0], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
20, GPU[1].SA[1].CU[0], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
21, GPU[1].SA[1].CU[0], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2812924.0
22, GPU[1].SA[1].CU[0], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.562749651253
23, GPU[1].SA[1].CU[1], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
24, GPU[1].SA[1].CU[1], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
25, GPU[1].SA[1].CU[1], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2813165.0
26, GPU[1].SA[1].CU[1], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.56244443536
27, GPU[1].SA[1].CU[2], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3918432.0
28, GPU[1].SA[1].CU[2], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.557590383092
29, GPU[1].SA[1].CU[2], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815379.0
30, GPU[1].SA[1].CU[2], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559642946829
31, GPU[1].SA[1].CU[3], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0
32, GPU[1].SA[1].CU[3], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939
33, GPU[1].SA[1].CU[3], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815647.0
