Unnamed: 0, where, what, value,ass2,ass8,ass16,ass4bank4,lat100,ln_sim_ass_2,ln_sim_ass_4
0, Driver, kernel_time, 0.000007707000, 0.000007707000, 0.000007707000, 0.000007707000, 0.000007707000, 0.000008003000,0.010021744,0.010021363
1, Driver, total_time, 0.000011672000, 0.000011672000, 0.000011672000, 0.000011672000, 0.000011672000, 0.000011968000,0.016065427,0.016065046
2, GPU[1].CommandProcessor, kernel_time, 0.000007118000, 0.000007118000, 0.000007118000, 0.000007118000, 0.000007118000, 0.000007414000,0.010021155,0.010020774
3, GPU[1].SA[0].CU[0], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3920000.0
4, GPU[1].SA[0].CU[0], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.556470153061
5, GPU[1].SA[0].CU[0], simd_inst_count, 995.000000000000, 995.000000000000, 995.000000000000, 995.000000000000, 995.000000000000, 1001.000000000000,2814122.0,2815023.0
6, GPU[1].SA[0].CU[0], simd_CPI, 7.745728643216, 7.745728643216, 7.745728643216, 7.745728643216, 7.745728643216, 7.995004995005,3.561232952942,3.559957769439
7, GPU[1].SA[0].CU[1], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3920000.0
8, GPU[1].SA[0].CU[1], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.556470153061
9, GPU[1].SA[0].CU[1], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815303.0,2816715.0
10, GPU[1].SA[0].CU[1], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559739040522,3.557819303692
11, GPU[1].SA[0].CU[2], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3921568.0
12, GPU[1].SA[0].CU[2], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.555447973872
13, GPU[1].SA[0].CU[2], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815880.0,2816846.0
14, GPU[1].SA[0].CU[2], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559009616887,3.557653844051
15, GPU[1].SA[0].CU[3], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3921568.0
16, GPU[1].SA[0].CU[3], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.555447973872
17, GPU[1].SA[0].CU[3], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2817474.0,2816631.0
18, GPU[1].SA[0].CU[3], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.556996089405,3.55792540805
19, GPU[1].SA[1].CU[0], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3921568.0
20, GPU[1].SA[1].CU[0], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.555447973872
21, GPU[1].SA[1].CU[0], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2812924.0,2814647.0
22, GPU[1].SA[1].CU[0], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.562749651253,3.560433333203
23, GPU[1].SA[1].CU[1], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3920000.0
24, GPU[1].SA[1].CU[1], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.556470153061
25, GPU[1].SA[1].CU[1], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2813165.0,2814622.0
26, GPU[1].SA[1].CU[1], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.56244443536,3.560464957639
27, GPU[1].SA[1].CU[2], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3918432.0,3920000.0
28, GPU[1].SA[1].CU[2], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.557590383092,2.556470153061
